baseMean log2FoldChange lfcSE stat pvalue padj
XLOC_000040 2.9420343671191 1.51254344908634 1.61241538732427 0.93806066412969 0.348213235284954 NA
XLOC_000041 64.0521394253283 0.0733628070483451 0.430754847040716 0.170312203222662 0.864764614682294 0.999604262958633
XLOC_000042 19.0738148407522 0.26785277003877 0.582407215925456 0.459906338236464 0.645583450544019 0.999604262958633
XLOC_000043 2.51568869912296 -2.24227550987008 2.38014790353213 -0.942074022602777 0.346154743277451 NA
XLOC_000044 9.87375970562258 -0.491624004847434 0.695313101016251 -0.707054137379102 0.479532835295601 NA
XLOC_000045 2.40025730958688 2.27050678192624 1.5258999671706 1.48797878679841 0.136756488088473 NA
XLOC_000046 513.362749285223 -0.0553001952058293 0.156572390796473 -0.353192506830362 0.723944125046185 0.999604262958633
XLOC_000047 593.712241831419 -0.0410849163984144 0.163593424148471 -0.251140390344342 0.801705569354102 0.999604262958633
XLOC_000048 1212.44561893727 0.100399982079136 0.152548750719379 0.658150142860408 0.510441658027776 0.999604262958633
XLOC_000049 159.947442744071 -0.249890805750739 0.220496519486266 -1.13330952494379 0.257084293214767 0.999604262958633
XLOC_000050 192.352088565482 0.345946097124527 0.301712909442333 1.1466068779223 0.251544132586345 0.999604262958633
XLOC_000051 0.0517775595034589 -0.269326676927532 6.11969039520907 -0.0440098533642126 0.964896549630012 NA
XLOC_000052 4238.08689935869 0.00494019433954295 0.105952978328214 0.0466262904308318 0.962811078079662 0.999604262958633
XLOC_000053 1353.60425041769 -0.28472502221435 0.160514522812838 -1.77382717292405 0.0760917419824953 0.999604262958633
XLOC_000054 433.246565518464 0.0345030528766336 0.147938163710767 0.233226180528308 0.81558577721585 0.999604262958633
XLOC_000055 8.87496162318545 0.94363078944594 0.721443138577965 1.30797666369928 0.190881224620824 NA
XLOC_000056 2.28089168981344 -0.325227242603251 1.67620300340646 -0.194026166247351 0.846155393512425 NA
XLOC_000057 31.4245209244011 -0.269409128694165 2.10380251375079 -0.128058183661852 0.898102928118041 0.999604262958633
XLOC_000058 10.3579002920698 -0.322892360691581 0.61926413788828 -0.52141298185401 0.602079109940456 NA
XLOC_000059 0.369908477021171 -1.69487299909693 5.20990997301544 -0.325317137508224 0.744941061821415 NA
XLOC_000060 14.5255364893088 0.631248530447096 0.611210491367155 1.03278418705661 0.301704905437626 0.999604262958633
XLOC_000061 13.9987468440584 -0.000985639089202176 0.576529730420139 -0.00170960669883217 0.99863593187443 0.999604262958633
XLOC_000062 306.656775744169 -0.179575395866093 0.199426602249299 -0.900458583963688 0.367876256199763 0.999604262958633
XLOC_000063 7.16614216209904 0.172414716176416 1.17938208913623 0.146190719500151 0.883770831618161 NA
XLOC_000064 0.949434615966368 2.73417785036832 3.20860108967213 0.852140161383447 0.394136303723406 NA
XLOC_000065 0 NA NA NA NA NA
XLOC_000066 3.58180506754339 0.942746996633072 1.4337230179279 0.657551692233822 0.510826244535172 NA
XLOC_000067 6.33681979169055 -0.243544553627212 0.846855218038034 -0.287587002405734 0.773662895329916 NA
XLOC_000068 29.575968580964 -0.285210955962098 0.84353526187804 -0.338113851135407 0.735277392911143 0.999604262958633
XLOC_000069 205.784561516113 0.181120026563133 0.296105718587101 0.611673517915715 0.540753786336552 0.999604262958633
XLOC_000070 3.97841648932322 2.01056111106507 1.38403114496014 1.45268487518247 0.146311268276406 NA
XLOC_000071 7.2720614080946 0.487198965218326 0.879410863264924 0.554006080172285 0.579574684624066 NA
XLOC_000072 2.77825417431357 -1.13268403913331 1.34706646150263 -0.840852379228426 0.400430639150029 NA
XLOC_000073 6.73928928903268 1.26129411849703 1.00012571193983 1.26113557869705 0.207260003960291 NA
XLOC_000074 1.4482689609724 -4.00557360589296 2.54848761849446 -1.57174536647712 0.116009616429057 NA
XLOC_000075 2.86123981254753 1.65669544901205 1.4132320078783 1.1722742195029 0.241086978632816 NA
XLOC_000076 0.389885511472245 1.1465300596725 5.14393467261635 0.22288970071413 0.823621352409064 NA
XLOC_000077 3.81659097915716 -0.269395745514785 2.29900587295097 -0.117179233287035 0.906718022971876 NA
XLOC_000078 846.936285420886 0.0197765551786479 0.123247845360255 0.160461670715953 0.872517412684616 0.999604262958633
XLOC_000079 1004.47218724328 -0.0914587810278345 0.128025782970825 -0.714377830039721 0.474993577129236 0.999604262958633
XLOC_000080 94.332752776545 -0.0338499074727653 0.274939532545837 -0.123117643939116 0.902013939731322 0.999604262958633
XLOC_000081 1.33407442565043 -2.67936061312168 2.41269699053455 -1.11052511924759 0.266772809975511 NA
XLOC_000082 11.0243782094729 -0.344046640513194 0.667193699718677 -0.515662304152844 0.606090286903537 0.999604262958633
XLOC_000083 0 NA NA NA NA NA
